iter	RMSE
183	0.5473430876
184	0.5436337216
185	0.5400699535
186	0.5372565033
187	0.5347140137
188	0.5316172594
189	0.5304382661
190	0.5274085118
191	0.5265358543
192	0.5226976762
193	0.5195350524
194	0.5186493307
195	0.5157974768
196	0.5132128551
197	0.5109124005
198	0.5081258061
199	0.5057768329
200	0.5013304578
201	0.4994327147
202	0.4972991398
203	0.4954415132
204	0.4947091111
205	0.4943149188
206	0.4908502662
207	0.4904700727
208	0.4887895846
209	0.4879878964
210	0.4874537429
211	0.4860801086
212	0.4842559461
213	0.4819515797
214	0.4777484924
215	0.4773452344
216	0.4749434214
217	0.4723509158
218	0.4701432407
219	0.4677345808
220	0.4674765425
221	0.4651241559
222	0.4646342037
223	0.4642368217
224	0.4619266837
225	0.4600179147
226	0.4595518042
227	0.4569327993
228	0.4545804305
229	0.4526034195
230	0.4501751844
231	0.4497749884
232	0.4476928085
233	0.4453351658
234	0.4426769907
235	0.4400276384
236	0.4375550909
237	0.4362539142
238	0.4356212847
239	0.4340696475
240	0.4335593586
241	0.43185633
242	0.4288584316
243	0.4263464545
244	0.4260111054
245	0.4246056519
246	0.4229292117
247	0.4218061343
248	0.4204504597
249	0.4164872468
250	0.4144344547
251	0.4122400585
252	0.4116381283
253	0.4096675431
254	0.4066591272
255	0.4043573474
256	0.4024825321
257	0.4004202982
258	0.3987502092
259	0.3970394843
260	0.3965730908
261	0.3955677593
262	0.3953417819
263	0.394896539
264	0.3935583641
265	0.3918290215
266	0.390012183
267	0.3896925736
268	0.3882106766
269	0.3869929961
270	0.3855122873
271	0.3848536252
272	0.3826939807
273	0.3812167042
274	0.379124862
275	0.3774751618
276	0.3752188852
277	0.3748261447
278	0.3732380889
279	0.3728589885
280	0.370317854
281	0.3681214787
282	0.367545283
283	0.3670691251
284	0.3657871024
285	0.3638761301
286	0.3618188986
287	0.3612895955
288	0.358540889
289	0.3569107461
290	0.3556265789
291	0.3539898326
292	0.3531239124
293	0.352017806
294	0.3507368883
295	0.3502925872
296	0.3494659244
297	0.3479838858
298	0.3461706151
299	0.3454501172
300	0.3438084367
301	0.3422113031
302	0.3410347778
303	0.3396821646
304	0.3393372501
305	0.3387343133
306	0.3383789736
307	0.3366762936
308	0.3356455197
309	0.3344870811
310	0.3326989091
311	0.3310674986
312	0.3308528687
313	0.3306409704
314	0.329282368
315	0.3270319708
316	0.3255576726
317	0.3240799173
318	0.3219012725
319	0.3211569249
320	0.3208776938
321	0.3196809132
322	0.3193311075
323	0.3179866411
324	0.3163063123
325	0.3144709166
326	0.3128094954
327	0.3111987021
328	0.3110321621
329	0.3096143387
330	0.3087101505
331	0.3081675581
332	0.3078586477
333	0.3068408876
334	0.3058317314
335	0.3048025611
336	0.3037688795
337	0.3034971335
338	0.3025392528
339	0.3008240698
340	0.2999341322
341	0.2983450758
342	0.2974123412
343	0.2967134093
344	0.2957756372
345	0.2945168591
346	0.294050239
347	0.2937560567
348	0.2933994893
349	0.2922672747
350	0.2916134088
351	0.2906934981
352	0.2904339914
353	0.2896900906
354	0.2890726675
355	0.2883792284
356	0.2872004041
357	0.2871150136
358	0.2862286015
359	0.2847305344
360	0.2841696176
361	0.2832947028
362	0.2822066422
363	0.2809253781
364	0.2804012787
365	0.2794085055
366	0.2782623426
367	0.2773799367
368	0.2766798094
369	0.2759339186
370	0.2756693091
371	0.2747391833
372	0.2745028279
373	0.2733726404
374	0.2725516013
375	0.2718138093
376	0.2708287529
377	0.2700441024
378	0.2691840819
379	0.269077864
380	0.2683237051
381	0.2667863073
382	0.2666921969
383	0.2664387554
384	0.2662793711
385	0.266050777
386	0.2659615998
387	0.2644221132
388	0.2627546811
389	0.2620317902
390	0.2612742976
391	0.2596731712
392	0.259082939
393	0.2582208837
394	0.2566635417
395	0.256568952
396	0.2564603907
397	0.2560925773
398	0.2558797447
399	0.255325219
400	0.2550708506
401	0.2547274495
402	0.2545182668
403	0.2537567331
404	0.2534623312
405	0.252761545
406	0.2514610406
407	0.2507448101
408	0.2497718389
409	0.2493902178
410	0.2485007654
411	0.2478300557
412	0.2475763217
413	0.2475113964
414	0.2470468565
415	0.2469794374
416	0.2464313545
417	0.24565612
418	0.2454666938
419	0.2452361278
420	0.2435923346
421	0.242615034
422	0.2418798693
423	0.2408880515
424	0.2405504045
425	0.2404006366
426	0.2398005445
427	0.2389221262
428	0.2384822286
429	0.2377480723
430	0.2368242622
431	0.2367301503
432	0.2359918308
433	0.2354220732
434	0.2349171186
435	0.234758045
436	0.2333510366
437	0.2324407146
438	0.2310430318
439	0.2307647564
440	0.2305840886
441	0.230555219
442	0.2304856382
443	0.2297503229
444	0.2295389032
445	0.2284660504
446	0.2283527161
447	0.22774995
448	0.2275444207
449	0.2264717591
450	0.2255397233
451	0.22448217
452	0.2232606151
453	0.222777761
454	0.2227440997
455	0.2218359186
456	0.2212490565
457	0.2202848323
458	0.2198316473
459	0.2195490544
460	0.2186237315
461	0.2178173169
462	0.2171979256
463	0.2171043973
464	0.2168350388
465	0.2163133366
466	0.215075406
467	0.2148262834
468	0.2137762789
469	0.2136267193
470	0.2127860674
471	0.2125734401
472	0.2116353531
473	0.2114646693
474	0.2107367084
475	0.2104696289
476	0.2096951618
477	0.2094849957
478	0.2091967243
479	0.2090677129
480	0.2089427565
481	0.2081133729
482	0.2079776169
483	0.2070961951
484	0.2064242548
485	0.2060643498
486	0.2054065119
487	0.2044197369
488	0.2043156131
489	0.204087437
490	0.2037659603
491	0.203687193
492	0.2029355647
493	0.2027212762
494	0.2019008663
495	0.2013616045
496	0.2012431404
497	0.2008689904
498	0.2000301418
499	0.19924518
