v4_1,Data Marking,mmm-yy,Time,countries,Geography,sic-unofficial,UnofficialStandardIndustrialClassification,type-of-prices,Prices,seasonal-adjustment,SeasonalAdjustment
99.6,,Oct-17,Oct-17,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
99.5,,Nov-17,Nov-17,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
99.7,,Dec-17,Dec-17,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
98.5,,Jan-18,Jan-18,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
99.4,,Feb-18,Feb-18,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
98.2,,Mar-18,Mar-18,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
99.2,,Apr-18,Apr-18,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
100.9,,May-18,May-18,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
100.9,,Jun-18,Jun-18,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
101.8,,Jul-18,Jul-18,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
101.2,,Aug-18,Aug-18,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
